"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"get pop-up window","1565","testPopUpWindowShown","Surefire suite","Fri May 16 19:03:36 GMT 2025","passed","Fri May 16 19:03:37 GMT 2025","selenidetests.tests.PopUpWindowTest","Surefire test","selenidetests.tests.PopUpWindowTest","testPopUpWindowShown"
"","637","showNestedFrame","Surefire suite","Fri May 16 19:03:43 GMT 2025","passed","Fri May 16 19:03:44 GMT 2025","selenidetests.tests.NestedFrameTest","Surefire test","selenidetests.tests.NestedFrameTest","showNestedFrame"
"","487","testGetDropdownAnimals","Surefire suite","Fri May 16 19:03:56 GMT 2025","passed","Fri May 16 19:03:57 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownAnimals"
"","942","showDropDown","Surefire suite","Fri May 16 19:03:54 GMT 2025","passed","Fri May 16 19:03:55 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","showDropDown"
"","1170","testPopUpWindowClose","Surefire suite","Fri May 16 19:03:35 GMT 2025","passed","Fri May 16 19:03:36 GMT 2025","selenidetests.tests.PopUpWindowTest","Surefire test","selenidetests.tests.PopUpWindowTest","testPopUpWindowClose"
"","527","testGetDropdownSettings","Surefire suite","Fri May 16 19:03:58 GMT 2025","passed","Fri May 16 19:03:58 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownSettings"
"","464","testRemoveAllTags","Surefire suite","Fri May 16 19:03:40 GMT 2025","passed","Fri May 16 19:03:41 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testRemoveAllTags"
"","1371","testVerifyAccount","Surefire suite","Fri May 16 19:03:44 GMT 2025","passed","Fri May 16 19:03:45 GMT 2025","selenidetests.tests.AccountPageTest","Surefire test","selenidetests.tests.AccountPageTest","testVerifyAccount"
"","683","testGetMoveItem","Surefire suite","Fri May 16 19:03:53 GMT 2025","passed","Fri May 16 19:03:54 GMT 2025","selenidetests.tests.SortableListTest","Surefire test","selenidetests.tests.SortableListTest","testGetMoveItem"
"","789","testGetValueProgressBar","Surefire suite","Fri May 16 19:03:46 GMT 2025","passed","Fri May 16 19:03:46 GMT 2025","selenidetests.tests.ShadowDomTest","Surefire test","selenidetests.tests.ShadowDomTest","testGetValueProgressBar"
"","399","delete all tags","Surefire suite","Fri May 16 19:03:40 GMT 2025","passed","Fri May 16 19:03:40 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testGetTagsRemaining"
"","368","testAddOneTag","Surefire suite","Fri May 16 19:03:40 GMT 2025","passed","Fri May 16 19:03:40 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testAddOneTag"
"","6782","testImproveProgressBar","Surefire suite","Fri May 16 19:03:46 GMT 2025","passed","Fri May 16 19:03:53 GMT 2025","selenidetests.tests.ShadowDomTest","Surefire test","selenidetests.tests.ShadowDomTest","testImproveProgressBar"
"","21729","testVerifyHomePage","Surefire suite","Fri May 16 19:03:10 GMT 2025","passed","Fri May 16 19:03:32 GMT 2025","selenidetests.tests.HomPageTest","Surefire test","selenidetests.tests.HomPageTest","testVerifyHomePage"
"","312","testRemoveAllTagsByButton","Surefire suite","Fri May 16 19:03:41 GMT 2025","passed","Fri May 16 19:03:41 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testRemoveAllTagsByButton"
"","483","testGetDropdownSettings","Surefire suite","Fri May 16 19:03:57 GMT 2025","passed","Fri May 16 19:03:57 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownSettings"
"","509","testGetDropdownAnimals","Surefire suite","Fri May 16 19:03:56 GMT 2025","passed","Fri May 16 19:03:56 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownAnimals"
"","591","testGetDropdownAnimals","Surefire suite","Fri May 16 19:03:55 GMT 2025","passed","Fri May 16 19:03:56 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownAnimals"
"","323","testGetTitle","Surefire suite","Fri May 16 19:03:54 GMT 2025","passed","Fri May 16 19:03:54 GMT 2025","selenidetests.tests.SortableListTest","Surefire test","selenidetests.tests.SortableListTest","testGetTitle"
